time,mmsi,ship_type,name,destination,draught,imo,call_sign,eta,pos_type,reference_point_a,reference_point_b,reference_point_c,reference_point_d
2025-03-24T13:09:33.229168+00:00,275516000,70,BALTIC MERCHANT,LV RIX,36.0,9138202,YLRG,248960,1,70,12,8,4
2025-03-24T13:09:32.818931+00:00,265585630,50,PILOT 792 SE,,15.0,0,SMWE,1596,1,10,7,2,3
2025-03-24T13:09:32.248546+00:00,273344790,52,IRBIS,PRIMORSK,49.0,9719628,UBDM5,280960,3,14,17,9,2
2025-03-24T13:09:31.920425+00:00,311001073,70,ICE GRACE,RU  LED,83.0,8706777,C6FC8,247808,1,112,32,10,14
2025-03-24T13:09:30.905728+00:00,230713000,60,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,246282,3,23,166,17,17
2025-03-24T13:09:30.714309+00:00,230644000,52,LEONARDO,FIRAU,37.0,8521464,OJQI,199838,1,6,23,6,3
2025-03-24T13:09:30.615151+00:00,230129940,70,SEGLINGE,SEGLINGE,32.0,0,OH4503,748382,1,16,16,2,6
2025-03-24T13:09:30.132238+00:00,230938210,60,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,1,0,0,0,0
2025-03-24T13:09:29.837263+00:00,230934000,31,METEOR,SILLAMAE,42.0,5233547,OJJO,248448,1,11,23,5,5
2025-03-24T13:09:29.340706+00:00,248886000,80,TRANS FJELL,SEHEL,65.0,9329306,9HA2563,251136,3,73,15,7,7
2025-03-24T13:09:29.095825+00:00,230981750,90,MT3327,,0.0,0,OG9545,1596,1,13,5,2,3
2025-03-24T13:09:28.615206+00:00,230359000,60,ARKTIS,FI VEI,40.0,7817050,OIRP,236559,1,10,34,3,9
2025-03-24T13:09:28.176720+00:00,210382000,70,SWE-BULK,FI KOK,36.0,9131589,5BYG5,240576,15,76,12,3,11
2025-03-24T13:09:27.786886+00:00,230985490,60,SUOMENLINNA II,SUOMENLINNA FERRY,39.0,9315408,OJLE,67584,3,17,17,4,4
2025-03-24T13:09:27.693952+00:00,230697000,70,FINNECO II,FIHEL,66.0,9856842,OJTP,245982,3,118,120,3,32
2025-03-24T13:09:27.264578+00:00,630001105,80,PONE,TALLINN OPL,80.0,9306562,J5AM4,219392,1,191,37,18,7
2025-03-24T13:09:27.023295+00:00,257037140,80,EK-RIVER,FIKEM>FISKV,75.0,9808259,LAEK8,244608,3,128,26,18,6
2025-03-24T13:09:26.732811+00:00,230291000,90,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,1,25,59,12,8
2025-03-24T13:09:26.508740+00:00,265762030,60,ROMINA   ,,14.0,0,SBLF,1596,1,7,13,3,2
2025-03-24T13:09:24.916997+00:00,230938570,52,BISON,MOSSALA,42.0,5001839,OJNE,246912,1,8,26,2,7
2025-03-24T13:09:23.544763+00:00,265604520,90,SVEA,OREGRUND,28.0,7723596,SFEB,111616,1,24,27,10,2
2025-03-24T13:09:23.542455+00:00,248886000,80,TRANS FJELL,SEHEL,65.0,9329306,9HA2563,251136,3,73,15,7,7
2025-03-24T13:09:23.166265+00:00,230685000,60,FINBO CARGO,EEMUG<>FIVSS,65.0,9181106,OJST,246637,3,25,155,7,17
2025-03-24T13:09:22.551412+00:00,230713000,60,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,246282,3,23,166,17,17
2025-03-24T13:09:21.830003+00:00,304408000,70,LUCA,PLGDN,61.0,9286712,V2QX7,249152,1,78,22,3,12
2025-03-24T13:09:21.787876+00:00,230110670,54,SEILI,FAIRWAY WORK,38.0,7817048,OIRO,92705,1,11,40,7,5
