time,mmsi,ship_type,name,destination,draught,imo,call_sign,eta,pos_type,reference_point_a,reference_point_b,reference_point_c,reference_point_d
2025-03-20T11:13:39.189546+00:00,230983340,,RESCUE JANNE MALEN,SAR UUSIKAUPUNKIAREA,0.0,0,OJKK,1596,3,,,,
2025-03-20T11:13:37.738940+00:00,276861000,,HELIOS,MUUGA,56.0,9875886,ESLT,224000,0,,,,
2025-03-20T11:13:37.573021+00:00,244770997,,LONGEON,SESTO,60.0,9988102,PDCL,238400,1,,,,
2025-03-20T11:13:37.008508+00:00,230992590,,FALKO,NAGU SODRA RUTT,22.0,7621475,OIRG,1596,1,,,,
2025-03-20T11:13:36.848151+00:00,636024909,,IRIS I,KOKKOLA,55.0,9341172,5LUW5,232704,1,,,,
2025-03-20T11:13:36.816691+00:00,230111350,,PILOT L127,CH67 RAHJA PILOT,23.0,0,OI-8009,849920,1,,,,
2025-03-20T11:13:36.629071+00:00,276829000,,MEGASTAR,EEVAN<->FIHEL,70.0,9773064,ESKL,238430,1,,,,
2025-03-20T11:13:35.604244+00:00,230938210,,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,1,,,,
2025-03-20T11:13:34.736409+00:00,230301000,,VARMA,FIPAR,42.0,9028122,OGOE,232640,1,,,,
2025-03-20T11:13:33.697027+00:00,230252000,,OTSO,ICEBREAKING CH72,79.0,8405880,OIRT,67904,1,,,,
2025-03-20T11:13:33.120275+00:00,230291000,,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,,,,
2025-03-20T11:13:32.523554+00:00,219015298,,TARNBRIS,FIKTK,61.0,9372652,OZDU2,237888,1,,,,
2025-03-20T11:13:31.886023+00:00,230289000,,SISU,ICEBREAKER CH 13,78.0,7359656,OHMW,77184,1,,,,
2025-03-20T11:13:31.377760+00:00,230713000,,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,240192,1,,,,
2025-03-20T11:13:30.798194+00:00,228467900,,ECO LEVANT,FI KTK,80.0,9985954,FMZY,237598,1,,,,
2025-03-20T11:13:30.252172+00:00,245157000,,NORDBORG,FIRAA,41.0,9148180,PIBU,236864,1,,,,
2025-03-20T11:13:29.497602+00:00,273218340,,PETROTRANS-5902,RU ULU,34.0,9900514,UBXT9,205248,15,,,,
2025-03-20T11:13:28.702203+00:00,265411000,,SCA OBBOLA,HOLMSUND,58.0,9087350,SEBR,238080,3,,,,
2025-03-20T11:13:28.212072+00:00,276629000,,MONTU,TALLINN,30.0,8846682,ES2108,682783,1,,,,
2025-03-20T11:13:27.399158+00:00,636025065,,STAR CHALLENGER,ST.PETERSBURG,64.0,9632997,5LVQ4,230656,1,,,,
2025-03-20T11:13:25.686233+00:00,230928000,,MINOS,RAUMA,23.0,0,OISJ,101440,1,,,,
2025-03-20T11:13:25.388312+00:00,230291000,,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,,,,
2025-03-20T11:13:24.656200+00:00,276197000,,EVA-320,TALLINN(HUNDIPEA),20.0,0,ES2338,644160,1,,,,
2025-03-20T11:13:23.972843+00:00,230938210,,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,1,,,,
2025-03-20T11:13:23.817754+00:00,230180500,,PILOT L250,,0.0,0,OHA4887,1596,0,,,,
2025-03-20T11:13:23.779918+00:00,273353940,,KORSAKOV,USTLUGA ,34.0,8724793,UBDI4,189184,1,,,,
2025-03-20T11:13:23.737928+00:00,620999840,,CAPELLA,RUULU,82.0,9341079,D6A3840,832064,15,,,,
2025-03-20T11:13:23.080243+00:00,518999319,,CINDY,RU ULU,145.0,9270517,E5U5300,236288,15,,,,
2025-03-20T11:13:22.941835+00:00,230947000,,AHTI,FIPRV,57.0,9230256,OJJQ,318400,1,,,,
2025-03-20T11:13:21.172472+00:00,230128770,,TOFTO 123,TOEFTOE,0.0,0,OI4989,392256,1,,,,
2025-03-20T11:13:20.808966+00:00,230713000,,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,240192,3,,,,
2025-03-20T11:13:20.388823+00:00,230716000,,KRAFT,HARBOUR ASSISTANCE,52.0,7618399,OIHG,416050,1,,,,
2025-03-20T11:13:20.137743+00:00,230940340,,CETUS,HARBOUR TUG CH12,47.0,7407568,OJNZ,212160,1,,,,
2025-03-20T11:13:20.044061+00:00,352005301,,DOVE,^UST-LUGA ANCHORAG,150.0,9297541,3E8600,232670,15,,,,
2025-03-20T11:13:19.529510+00:00,255805917,,OCEAN CARRIER,DZMOS,82.0,9349435,CQIB9,260608,1,,,,
2025-03-20T11:13:18.984594+00:00,230944110,,LEO,HARBOUR ASSISTANCE ,50.0,7363970,OJTZ,390464,1,,,,
2025-03-20T11:13:18.266222+00:00,265411000,,SCA OBBOLA,HOLMSUND,58.0,9087350,SEBR,238080,3,,,,
2025-03-20T11:13:17.062798+00:00,230291000,,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,,,,
2025-03-20T11:13:16.668641+00:00,246278000,,BORE WAVE,NLAMS VIA NOK,67.0,9892896,PEVW,246144,1,,,,
2025-03-20T11:13:16.480336+00:00,273219190,,ONEGO,RU ULU,29.0,8215728,UBBV5,238336,3,,,,
2025-03-20T11:13:15.915637+00:00,230681000,,NINA,FI SVL,33.0,8618035,OJNV,162142,1,,,,
2025-03-20T11:13:14.505358+00:00,230938490,,KUOKKA PEKKA 2,TURKU,60.0,0,OF-6494,621312,1,,,,
2025-03-20T11:13:11.987540+00:00,230291000,,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,,,,
2025-03-20T11:13:10.692964+00:00,230111190,,PILOT L224,KALAJOKI PILOTCH67,17.0,0,OG-9137,1596,1,,,,
2025-03-20T11:13:10.176078+00:00,230713000,,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,240192,3,,,,
2025-03-20T11:13:09.236334+00:00,265411000,,SCA OBBOLA,HOLMSUND,58.0,9087350,SEBR,238080,1,,,,
2025-03-20T11:13:08.767525+00:00,276702000,,AHTO-26,MEERUSE ,0.0,0,ES2693,225920,1,,,,
2025-03-20T11:13:07.165325+00:00,538005294,,TWINKLE STAR,DK_SKA,119.0,9363780,V7CO4,243712,1,,,,
2025-03-20T11:13:07.053788+00:00,230992660,,KUMMELI,MUSTOLA,27.0,8410146,OJRP,658368,1,,,,
2025-03-20T11:13:04.759944+00:00,230946000,,UKKO,"FIPRV, ESCORT TUG",56.0,9230244,OJIJ,570176,1,,,,
2025-03-20T11:13:04.602802+00:00,209730000,,OPTIMAR,FIKTK,46.0,9199402,5BJH5,233856,1,,,,
2025-03-20T11:13:04.459938+00:00,230291000,,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,,,,
2025-03-20T11:13:02.510430+00:00,230108490,,MERILUOTO,RIUTTU HUIKKU,41.0,8685739,OI9738,368832,1,,,,
2025-03-20T11:13:02.045706+00:00,230938210,,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,1,,,,
2025-03-20T11:13:02.015838+00:00,230987160,,PILOT L229,,18.0,0,OJ 3089,1596,1,,,,
2025-03-20T11:13:01.604744+00:00,230706000,,SAANA,FISKV-SESDL,86.0,9739836,OJUN,237952,1,,,,
2025-03-20T11:13:00.827305+00:00,230024000,,AHTO,FITRY,53.0,9682435,OJQM,734208,1,,,,
2025-03-20T11:13:00.073078+00:00,209276000,,ELBWAVE,DEHAM,80.0,9504035,5BZP4,244032,1,,,,
2025-03-20T11:12:59.873624+00:00,230992650,,URSUS,FAIRWAY WORKS,18.0,0,OIRM,1596,1,,,,
2025-03-20T11:12:59.030767+00:00,230713000,,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,240192,3,,,,
2025-03-20T11:12:58.900944+00:00,265411000,,SCA OBBOLA,HOLMSUND,58.0,9087350,SEBR,238080,3,,,,
2025-03-20T11:12:58.061934+00:00,230291000,,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,,,,
2025-03-20T11:12:55.629267+00:00,230014910,,MT1310,,0.0,0,OJ7605,1596,1,,,,
2025-03-20T11:12:54.582337+00:00,230981050,,MERISILTA,RIUTTU,38.0,8702903,OG6628,771131,3,,,,
2025-03-20T11:12:54.411140+00:00,230992740,,SKIFTET,KOKAR<>LANGNAS,40.0,8412807,OIRS,1596,1,,,,
2025-03-20T11:12:54.271933+00:00,230125910,,PILOT L-139,HELSINKI PILOT CH 71,0.0,0,OJ-3545,1596,0,,,,
2025-03-20T11:12:53.549161+00:00,273614220,,ALARA,TBC,72.0,9741724,UBOX9,217664,1,,,,
2025-03-20T11:12:53.263165+00:00,215936000,,EUROSAILOR,UST LUGA RUSSIA,83.0,9895915,9HA5376,223360,1,,,,
2025-03-20T11:12:51.062502+00:00,305255000,,MARALTA,RU PRI,85.0,9324320,V2YI4,240158,1,,,,
2025-03-20T11:12:50.475343+00:00,230690000,,LUNNI,SE NYN > FI SKV,76.0,9797802,OJTJ,235968,1,,,,
2025-03-20T11:12:50.384779+00:00,230938210,,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,1,,,,
2025-03-20T11:12:49.157697+00:00,230291000,,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,,,,
2025-03-20T11:12:46.826185+00:00,265411000,,SCA OBBOLA,HOLMSUND,58.0,9087350,SEBR,238080,3,,,,
2025-03-20T11:12:46.733701+00:00,230992610,,FINNO,HOUTSKAR INIO AREA,22.0,0,OJAA,660554,15,,,,
2025-03-20T11:12:45.317185+00:00,230713000,,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,240192,1,,,,
2025-03-20T11:12:45.261955+00:00,265513350,,PILOT 571 SE,PILOT KAPELLSKAR,20.0,0,SCRI,1596,1,,,,
2025-03-20T11:12:43.966804+00:00,230992510,,KUPELI,PAIMIO,25.0,0,OIRN,238656,1,,,,
2025-03-20T11:12:43.734582+00:00,538006145,,GUARDIAN,RU ULU,66.0,9714692,V7KD7,236864,15,,,,
2025-03-20T11:12:42.756496+00:00,305662000,,FEED FISKAA,BEKKERI,63.0,9115999,V2QF3,236736,1,,,,
2025-03-20T11:12:41.331545+00:00,230291000,,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,,,,
2025-03-20T11:12:41.298440+00:00,305391000,,AMBER SPIRIT,VYBORG,46.0,9142643,V2QQ3,240000,1,,,,
2025-03-20T11:12:40.333155+00:00,636017150,,ALEXANDROS P.,FI KTK,76.0,9723045,D5JN7,235584,1,,,,
2025-03-20T11:12:39.443548+00:00,352004666,,RIGEL,UST LUGA P\S,150.0,9296406,3E6936,231454,1,,,,
2025-03-20T11:12:39.088663+00:00,275517000,,FRIENDLAND,EEVEB,41.0,9246906,YLRH,236992,1,,,,
2025-03-20T11:12:38.744606+00:00,215936000,,EUROSAILOR,UST LUGA RUSSIA,83.0,9895915,9HA5376,223360,15,,,,
2025-03-20T11:12:38.522417+00:00,265585310,,JUPITER,LJUSTERO<>OSTANA :-),35.0,0,SFKL,1596,1,,,,
2025-03-20T11:12:37.426243+00:00,230938210,,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,1,,,,
2025-03-20T11:12:36.984250+00:00,230987390,,FALCO,GALTBY,42.0,8685741,OI 7119,842880,1,,,,
